"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"1","S Ladda","2010-2010",5,"2","1","0","0*","0.00","9","0.00","0","0","1","0","0"
"2","VR Aaron","2011-2012",12,"3","1","1","1","0.50","8","12.50","0","0","1","0","0"
"3","AB Agarkar","2011-2013",19,"8","4","40","11*","10.00","39","102.56","0","0","1","3","1"
"4","MA Agarwal","2014-2016",21,"21","1","355","68","17.75","293","121.16","0","2","1","38","11"
"5","R Bhatia","2008-2010",26,"15","3","95","21","7.91","89","106.74","0","0","3","6","4"
"6","SW Billings","2016-2016",5,"4","0","88","54","22.00","64","137.50","0","1","0","4","4"
"7","TR Birt","2011-2011",5,"5","0","75","27","15.00","58","129.31","0","0","0","9","2"
"8","J Botha","2013-2013",6,"6","0","43","23","7.16","52","82.69","0","0","0","5","1"
"9","DAJ Bracewell","2012-2012",1,"1","1","12","12*","-","9","133.33","0","0","0","1","0"
"10","CR Brathwaite","2016-2016",8,"6","0","83","34","13.83","38","218.42","0","0","0","6","8"
"11","UBT Chand","2011-2013",17,"16","0","248","41","15.50","257","96.49","0","0","3","23","9"
"12","B Chipli","2013-2013",1,"1","0","16","16","16.00","18","88.88","0","0","0","1","1"
"13","PD Collingwood","2010-2010",8,"7","2","203","75*","40.60","156","130.12","0","3","0","9","13"
"14","NM Coulter-Nile","2014-2016",17,"8","4","29","7*","7.25","32","90.62","0","0","0","3","1"
"15","Q de Kock","2014-2016",23,"23","1","720","108","32.72","534","134.83","1","5","0","89","21"
"16","AB de Villiers","2008-2010",28,"26","5","671","105*","31.95","572","117.30","1","3","2","51","13"
"17","S Dhawan","2008-2008",14,"14","5","340","68*","37.77","295","115.25","0","4","1","35","8"
"18","TM Dilshan","2008-2010",31,"30","4","615","67*","23.65","542","113.46","0","4","3","66","16"
"19","AB Dinda","2011-2011",6,"1","0","0","0","0.00","5","0.00","0","0","1","0","0"
"20","JP Duminy","2014-2016",38,"35","12","1015","78*","44.13","776","130.79","0","6","0","62","43"
"21","AJ Finch","2011-2012",8,"8","0","102","30","12.75","97","105.15","0","0","2","11","3"
"22","G Gambhir","2008-2010",44,"43","4","1115","86","28.58","910","122.52","0","8","3","134","12"
"23","CM Gautam","2013-2015",4,"4","1","48","30","16.00","39","123.07","0","0","0","4","1"
"24","B Geeves","2008-2008",2,"-","-","-","-","-","-","-","-","-","-","-","-"
"25","Sunny Gupta","2012-2012",1,"1","0","0","0","0.00","1","0.00","0","0","1","0","0"
"26","MC Henriques","2010-2010",1,"1","0","11","11","11.00","5","220.00","0","0","0","2","0"
"27","JR Hopes","2011-2011",10,"8","3","196","55","39.20","158","124.05","0","2","0","22","3"
"28","Imran Tahir","2014-2016",20,"5","1","18","5","4.50","23","78.26","0","0","0","3","0"
