"","Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"1","S Ladda",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"2","AD Nath",4,"3","0","20","12","6.66","27","74.07","0","0","0","1","0"
"3","DJ Bravo",15,"13","5","99","22*","12.37","82","120.73","0","0","1","11","1"
"4","ER Dwivedi",4,"2","0","24","19","12.00","14","171.42","0","0","0","2","2"
"5","JP Faulkner",7,"5","2","77","32","25.66","59","130.50","0","0","0","7","0"
"6","AJ Finch",13,"12","2","393","74","39.30","299","131.43","0","5","2","45","11"
"7","Ishan Kishan",5,"5","0","42","27","8.40","41","102.43","0","0","1","5","0"
"8","RA Jadeja",15,"15","6","191","36*","21.22","177","107.90","0","0","1","14","4"
"9","SB Jakati",6,"1","1","1","1*","-","2","50.00","0","0","0","0","0"
"10","KD Karthik",16,"15","2","335","53","25.76","266","125.93","0","3","1","38","3"
"11","S Kaushik",7,"2","1","0","0*","0.00","1","0.00","0","0","1","0","0"
"12","DS Kulkarni",14,"5","3","27","10","13.50","16","168.75","0","0","0","3","0"
"13","P Kumar",16,"7","3","24","15","6.00","26","92.30","0","0","1","3","0"
"14","BB McCullum",16,"16","0","354","60","22.12","262","135.11","0","1","1","38","16"
"15","SK Raina",15,"15","1","399","75","28.50","312","127.88","0","3","0","39","10"
"16","PJ Sangwan",2,"-","-","-","-","-","-","-","-","-","-","-","-"
"17","DR Smith",12,"12","1","324","73","29.45","221","146.60","0","3","1","35","16"
"18","DW Steyn",1,"1","0","1","1","1.00","2","50.00","0","0","0","0","0"
"19","PV Tambe",7,"1","1","7","7*","-","19","36.84","0","0","0","1","0"
