"","Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100s","X50s","X0s","X4s","X6s","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI","NewAve"
"6","HM Amla",6,6,0,157,96,26.16,119,131.93,0,1,1,20,4,0.666666666666667,3.33333333333333,4,26.1666666666667,15.2866242038217,50.9554140127389,66.2420382165605,19.8333333333333,26.1666666666667
"24","JC Buttler",14,14,3,255,41,23.18,184,138.58,0,0,1,23,11,0.785714285714286,1.64285714285714,2.42857142857143,18.2142857142857,25.8823529411765,36.078431372549,61.9607843137255,13.1428571428571,18.2142857142857
"32","Q de Kock",13,13,1,445,108,37.08,327,136.08,1,3,0,52,13,1,4,5,34.2307692307692,17.5280898876404,46.7415730337079,64.2696629213483,25.1538461538462,34.2307692307692
"33","AB de Villiers",16,16,3,687,129,52.84,407,168.79,1,6,1,57,37,2.3125,3.5625,5.875,42.9375,32.3144104803493,33.1877729257642,65.5021834061135,25.4375,42.9375
"35","S Dhawan",17,17,4,501,82,38.53,429,116.78,0,4,1,51,8,0.470588235294118,3,3.47058823529412,29.4705882352941,9.58083832335329,40.7185628742515,50.2994011976048,25.2352941176471,29.4705882352941
"36","MS Dhoni",14,12,5,284,64,40.57,210,135.23,0,1,0,18,14,1.16666666666667,1.5,2.66666666666667,23.6666666666667,29.5774647887324,25.3521126760563,54.9295774647887,17.5,23.6666666666667
"38","JP Duminy",10,8,3,191,49,38.2,156,122.43,0,0,0,13,3,0.375,1.625,2,23.875,9.42408376963351,27.2251308900524,36.6492146596859,19.5,23.875
"39","F du Plessis",6,6,0,206,69,34.33,162,127.16,0,2,0,17,9,1.5,2.83333333333333,4.33333333333333,34.3333333333333,26.2135922330097,33.0097087378641,59.2233009708738,27,34.3333333333333
"42","AJ Finch",13,12,2,393,74,39.3,299,131.43,0,5,2,45,11,0.916666666666667,3.75,4.66666666666667,32.75,16.793893129771,45.8015267175573,62.5954198473282,24.9166666666667,32.75
"43","G Gambhir",15,15,2,501,90,38.53,411,121.89,0,5,1,54,6,0.4,3.6,4,33.4,7.18562874251497,43.1137724550898,50.2994011976048,27.4,33.4
"44","CH Gayle",10,10,0,227,76,22.7,150,151.33,0,2,1,17,21,2.1,1.7,3.8,22.7,55.5066079295154,29.9559471365639,85.4625550660793,15,22.7
"47","Gurkeerat Singh",7,6,1,113,51,22.6,86,131.39,0,1,1,11,3,0.5,1.83333333333333,2.33333333333333,18.8333333333333,15.929203539823,38.9380530973451,54.8672566371681,14.3333333333333,18.8333333333333
"52","MC Henriques",17,15,3,182,31,15.16,158,115.18,0,0,1,15,6,0.4,1,1.4,12.1333333333333,19.7802197802198,32.967032967033,52.7472527472527,10.5333333333333,12.1333333333333
"55","DJ Hooda",17,15,1,144,34,10.28,121,119,0,0,0,9,5,0.333333333333333,0.6,0.933333333333333,9.6,20.8333333333333,25,45.8333333333333,8.06666666666667,9.6
"60","RA Jadeja",15,15,6,191,36,21.22,177,107.9,0,0,1,14,4,0.266666666666667,0.933333333333333,1.2,12.7333333333333,12.565445026178,29.3193717277487,41.8848167539267,11.8,12.7333333333333
"65","KD Karthik",16,15,2,335,53,25.76,266,125.93,0,3,1,38,3,0.2,2.53333333333333,2.73333333333333,22.3333333333333,5.37313432835821,45.3731343283582,50.7462686567164,17.7333333333333,22.3333333333333
"69","UT Khawaja",6,6,0,127,30,21.16,100,127,0,0,0,14,3,0.5,2.33333333333333,2.83333333333333,21.1666666666667,14.1732283464567,44.0944881889764,58.2677165354331,16.6666666666667,21.1666666666667
"70","V Kohli",16,16,4,973,113,81.08,640,152.03,4,7,1,83,38,2.375,5.1875,7.5625,60.8125,23.4326824254882,34.1212744090442,57.5539568345324,40,60.8125
"77","BB McCullum",16,16,0,354,60,22.12,262,135.11,0,1,1,38,16,1,2.375,3.375,22.125,27.1186440677966,42.9378531073446,70.0564971751412,16.375,22.125
"80","SE Marsh",6,6,1,159,56,31.8,134,118.65,0,1,0,13,4,0.666666666666667,2.16666666666667,2.83333333333333,26.5,15.0943396226415,32.7044025157233,47.7987421383648,22.3333333333333,26.5
"81","GJ Maxwell",11,11,2,179,68,19.88,124,144.35,0,2,3,14,8,0.727272727272727,1.27272727272727,2,16.2727272727273,26.8156424581006,31.2849162011173,58.1005586592179,11.2727272727273,16.2727272727273
"82","DA Miller",14,13,3,161,31,16.1,131,122.9,0,0,1,11,4,0.307692307692308,0.846153846153846,1.15384615384615,12.3846153846154,14.9068322981366,27.3291925465838,42.2360248447205,10.0769230769231,12.3846153846154
"86","EJG Morgan",7,6,1,123,51,24.6,105,117.14,0,1,1,8,4,0.666666666666667,1.33333333333333,2,20.5,19.5121951219512,26.0162601626016,45.5284552845528,17.5,20.5
"89","CH Morris",12,7,4,195,82,65,109,178.89,0,1,1,15,12,1.71428571428571,2.14285714285714,3.85714285714286,27.8571428571429,36.9230769230769,30.7692307692308,67.6923076923077,15.5714285714286,27.8571428571429
"94","KK Nair",14,12,2,357,83,35.7,297,120.2,0,3,0,40,6,0.5,3.33333333333333,3.83333333333333,29.75,10.0840336134454,44.8179271708684,54.9019607843137,24.75,29.75
"98","NV Ojha",17,13,3,136,37,13.6,138,98.55,0,0,1,7,5,0.384615384615385,0.538461538461538,0.923076923076923,10.4615384615385,22.0588235294118,20.5882352941176,42.6470588235294,10.6153846153846,10.4615384615385
"99","MK Pandey",12,11,3,248,52,31,183,135.51,0,2,1,17,9,0.818181818181818,1.54545454545455,2.36363636363636,22.5454545454545,21.7741935483871,27.4193548387097,49.1935483870968,16.6363636363636,22.5454545454545
"101","KH Pandya",12,9,3,237,86,39.5,124,191.12,0,1,0,22,13,1.44444444444444,2.44444444444444,3.88888888888889,26.3333333333333,32.9113924050633,37.1308016877637,70.042194092827,13.7777777777778,26.3333333333333
"102","RR Pant",10,10,2,198,69,24.75,152,130.26,0,1,0,19,6,0.6,1.9,2.5,19.8,18.1818181818182,38.3838383838384,56.5656565656566,15.2,19.8
"104","AR Patel",14,10,3,111,36,15.85,77,144.15,0,0,2,4,8,0.8,0.4,1.2,11.1,43.2432432432432,14.4144144144144,57.6576576576577,7.7,11.1
"106","PA Patel",10,10,0,177,81,17.7,152,116.44,0,1,1,23,4,0.4,2.3,2.7,17.7,13.5593220338983,51.9774011299435,65.5367231638418,15.2,17.7
"108","YK Pathan",15,13,8,361,63,72.2,248,145.56,0,3,0,33,13,1,2.53846153846154,3.53846153846154,27.7692307692308,21.606648199446,36.5650969529086,58.1717451523546,19.0769230769231,27.7692307692308
"109","NLTC Perera",12,10,3,150,34,21.42,93,161.29,0,0,0,7,11,1.1,0.7,1.8,15,44,18.6666666666667,62.6666666666667,9.3,15
"111","KA Pollard",13,12,4,207,51,25.87,144,143.75,0,1,0,11,16,1.33333333333333,0.916666666666667,2.25,17.25,46.3768115942029,21.256038647343,67.6328502415459,12,17.25
"112","AM Rahane",14,14,3,480,74,43.63,379,126.64,0,6,2,54,9,0.642857142857143,3.85714285714286,4.5,34.2857142857143,11.25,45,56.25,27.0714285714286,34.2857142857143
"113","KL Rahul",14,12,3,397,68,44.11,271,146.49,0,4,1,37,16,1.33333333333333,3.08333333333333,4.41666666666667,33.0833333333333,24.1813602015113,37.27959697733,61.4609571788413,22.5833333333333,33.0833333333333
"114","SK Raina",15,15,1,399,75,28.5,312,127.88,0,3,0,39,10,0.666666666666667,2.6,3.26666666666667,26.6,15.0375939849624,39.0977443609023,54.1353383458647,20.8,26.6
"116","N Rana",4,3,0,104,70,34.66,75,138.66,0,1,0,7,8,2.66666666666667,2.33333333333333,5,34.6666666666667,46.1538461538462,26.9230769230769,73.0769230769231,25,34.6666666666667
"117","AT Rayudu",13,12,1,334,65,30.36,278,120.14,0,2,1,28,12,1,2.33333333333333,3.33333333333333,27.8333333333333,21.5568862275449,33.5329341317365,55.0898203592814,23.1666666666667,27.8333333333333
"119","AD Russell",12,8,1,188,39,26.85,114,164.91,0,0,0,10,15,1.875,1.25,3.125,23.5,47.8723404255319,21.2765957446809,69.1489361702128,14.25,23.5
"120","Sachin Baby",11,6,2,119,33,29.75,79,150.63,0,0,1,9,5,0.833333333333333,1.5,2.33333333333333,19.8333333333333,25.2100840336134,30.2521008403361,55.4621848739496,13.1666666666667,19.8333333333333
"121","WP Saha",12,12,1,270,56,24.54,212,127.35,0,2,0,29,1,0.0833333333333333,2.41666666666667,2.5,22.5,2.22222222222222,42.962962962963,45.1851851851852,17.6666666666667,22.5
