"","Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI","NOPI"
"1","A Mishra",61,23,9,129,31,9.21,162,79.62,0,0,3,6,2,0.0869565217391304,0.260869565217391,0.347826086956522,5.60869565217391,9.30232558139535,18.6046511627907,27.906976744186,7.04347826086957,0.391304347826087
"2","A Symonds",30,29,4,849,0,33.96,625,135.84,1,5,0,66,38,1.31034482758621,2.27586206896552,3.58620689655172,29.2758620689655,26.8551236749117,31.095406360424,57.9505300353357,21.551724137931,0.137931034482759
"3","AB de Villiers",121,110,26,3288,0,73.48,2206,277.45,3,21,8,276,143,2.04761904761905,4.64010989010989,6.68772893772894,56.9624542124542,41.4295614994701,64.7929080009362,106.222469500406,41.4523809523809,0.442307692307692
"4","AC Gilchrist",82,82,4,2138,106,54.8,1539,275.1,2,12,7,247,95,2.21936274509804,6.02941176470588,8.24877450980392,51.8247549019608,50.9749525065312,93.2134825711077,144.188435077639,37.7843137254902,0.10906862745098
"5","AD Russell",33,25,4,581,66,27.66,327,177.67,0,4,0,49,39,1.56,1.96,3.52,23.24,40.2753872633391,33.7349397590361,74.0103270223752,13.08,0.16
"6","AL Menaria",33,24,3,407,40,19.38,364,111.81,0,0,1,24,18,0.75,1,1.75,16.9583333333333,26.5356265356265,23.5872235872236,50.1228501228501,15.1666666666667,0.125
"7","AM Nayar",30,24,5,457,0,24.05,341,134.01,0,0,0,34,18,0.75,1.41666666666667,2.16666666666667,19.0416666666667,23.6323851203501,29.7592997811816,53.3916849015317,14.2083333333333,0.208333333333333
"8","AM Rahane",77,72,10,2335,0,37.66,1935,120.67,1,19,4,245,46,0.638888888888889,3.40277777777778,4.04166666666667,32.4305555555556,11.8201284796574,41.9700214132762,53.7901498929336,26.875,0.138888888888889
"9","AP Tare",32,25,4,357,59,17,281,127.04,0,1,2,39,13,0.52,1.56,2.08,14.28,21.8487394957983,43.6974789915966,65.546218487395,11.24,0.16
"10","AR Patel",50,32,9,433,0,18.82,338,128.1,0,0,3,30,19,0.59375,0.9375,1.53125,13.53125,26.3279445727483,27.7136258660508,54.0415704387991,10.5625,0.28125
