"","X.1","X","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","Team","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI","NOPI"
"4",4,4,"R Ashwin","2009-2015",121,40,16,288,46,12,263,109.5,0,0,3,27,6,"CSK",0.15,0.675,0.825,7.2,12.5,37.5,50,6.575,0.4
"6",6,6,"S Badrinath","2008-2013",114,82,23,1667,0,28.25,1455,114.57,0,12,6,168,32,"CSK",0.390243902439024,2.04878048780488,2.4390243902439,20.3292682926829,11.5176964607079,40.3119376124775,51.8296340731854,17.7439024390244,0.280487804878049
"10",10,10,"DJ Bravo","2011-2015",75,56,23,982,67,29.75,726,135.26,0,2,1,79,41,"CSK",0.732142857142857,1.41071428571429,2.14285714285714,17.5357142857143,25.050916496945,32.1792260692464,57.2301425661914,12.9642857142857,0.410714285714286
"11",11,11,"MS Dhoni","2008-2015",153,139,48,3435,0,37.74,2462,139.52,0,16,5,246,152,"CSK",1.09352517985612,1.76978417266187,2.86330935251799,24.7122302158273,26.5502183406114,28.646288209607,55.1965065502183,17.7122302158273,0.345323741007194
"12",12,12,"F du Plessis","2012-2015",53,46,3,1292,73,30.04,993,130.11,0,7,2,114,35,"CSK",0.760869565217391,2.47826086956522,3.23913043478261,28.0869565217391,16.2538699690402,35.2941176470588,51.5479876160991,21.5869565217391,0.0652173913043478
"18",18,18,"ML Hayden","2008-2010",34,34,2,1117,93,34.9,824,135.55,0,8,2,122,44,"CSK",1.29411764705882,3.58823529411765,4.88235294117647,32.8529411764706,23.6347358997314,43.6884512085945,67.3231871083259,24.2352941176471,0.0588235294117647
"22",22,22,"MEK Hussey","2008-2015",64,63,9,2213,0,40.98,1802,122.8,1,17,1,230,52,"CSK",0.825396825396825,3.65079365079365,4.47619047619048,35.1269841269841,14.098508811568,41.5725259828287,55.6710347943967,28.6031746031746,0.142857142857143
"23",23,23,"RA Jadeja","2012-2015",84,60,21,826,48,21.17,622,132.79,0,0,4,57,32,"CSK",0.533333333333333,0.95,1.48333333333333,13.7666666666667,23.2445520581114,27.6029055690073,50.8474576271186,10.3666666666667,0.35
"31",31,31,"BB McCullum","2014-2015",33,33,2,968,0,31.22,709,136.53,1,5,0,97,47,"CSK",1.42424242424242,2.93939393939394,4.36363636363636,29.3333333333333,29.1322314049587,40.0826446280992,69.2148760330579,21.4848484848485,0.0606060606060606
"35",35,35,"JA Morkel","2008-2013",92,70,31,909,71,23.3,639,142.25,0,2,4,57,52,"CSK",0.742857142857143,0.814285714285714,1.55714285714286,12.9857142857143,34.3234323432343,25.0825082508251,59.4059405940594,9.12857142857143,0.442857142857143
"45",45,45,"PA Patel","2008-2010",26,26,2,516,57,21.5,502,102.78,0,3,4,67,7,"CSK",0.269230769230769,2.57692307692308,2.84615384615385,19.8461538461538,8.13953488372093,51.937984496124,60.077519379845,19.3076923076923,0.0769230769230769
"47",47,47,"SK Raina","2008-2015",156,152,22,4541,0,34.93,3202,141.81,2,30,7,390,189,"CSK",1.24342105263158,2.56578947368421,3.80921052631579,29.875,24.9724730235631,34.3536665932614,59.3261396168245,21.0657894736842,0.144736842105263
"52",52,52,"DR Smith","2014-2015",37,37,0,1025,79,27.7,799,128.28,0,7,3,112,51,"CSK",1.37837837837838,3.02702702702703,4.40540540540541,27.7027027027027,29.8536585365854,43.7073170731707,73.5609756097561,21.5945945945946,0
"58",58,58,"M Vijay","2009-2013",83,83,4,2097,127,26.54,1672,125.41,2,10,5,193,81,"CSK",0.975903614457831,2.32530120481928,3.30120481927711,25.2650602409639,23.1759656652361,36.8144969003338,59.9904625655699,20.144578313253,0.0481927710843374
"70",70,12,"S Dhawan","2011-2012",29,29,3,969,0,37.26,749,129.37,0,7,0,105,25,"DC",0.862068965517241,3.62068965517241,4.48275862068965,33.4137931034483,15.4798761609907,43.343653250774,58.8235294117647,25.8275862068966,0.103448275862069
"73",73,15,"HH Gibbs","2008-2010",33,33,3,805,0,26.83,719,111.96,0,5,4,75,29,"DC",0.878787878787879,2.27272727272727,3.15151515151515,24.3939393939394,21.6149068322981,37.2670807453416,58.8819875776397,21.7878787878788,0.0909090909090909
"74",74,16,"AC Gilchrist","2008-2010",48,48,1,1289,0,27.42,872,147.82,1,8,4,144,67,"DC",1.39583333333333,3,4.39583333333333,26.8541666666667,31.1869666408068,44.6858029480217,75.8727695888285,18.1666666666667,0.0208333333333333
"94",94,36,"DB Ravi Teja","2008-2012",30,23,5,361,60,20.05,300,120.33,0,1,1,35,9,"DC",0.391304347826087,1.52173913043478,1.91304347826087,15.695652173913,14.9584487534626,38.781163434903,53.7396121883657,13.0434782608696,0.217391304347826
"98",98,40,"KC Sangakkara","2011-2012",25,25,1,558,82,23.25,477,116.98,0,2,2,65,9,"DC",0.36,2.6,2.96,22.32,9.67741935483871,46.5949820788531,56.2724014336918,19.08,0.04
"103",103,45,"RG Sharma","2008-2010",47,46,6,1219,0,30.47,935,130.37,0,8,2,102,51,"DC",1.10869565217391,2.21739130434783,3.32608695652174,26.5,25.1025430680886,33.4700574241181,58.5726004922067,20.3260869565217,0.130434782608696
"106",106,48,"RP Singh","2008-2010",44,22,10,51,10,4.25,69,73.91,0,0,2,2,1,"DC",0.0454545454545455,0.0909090909090909,0.136363636363636,2.31818181818182,11.7647058823529,15.6862745098039,27.4509803921569,3.13636363636364,0.454545454545455
"112",112,54,"TL Suman","2009-2010",28,28,8,559,0,27.95,463,120.73,0,2,2,43,20,"DC",0.714285714285714,1.53571428571429,2.25,19.9642857142857,21.4669051878354,30.7692307692308,52.2361359570662,16.5357142857143,0.285714285714286
"114",114,56,"A Symonds","2008-2010",30,29,4,849,0,33.96,625,135.84,1,5,0,66,38,"DC",1.31034482758621,2.27586206896552,3.58620689655172,29.2758620689655,26.8551236749117,31.095406360424,57.9505300353357,21.551724137931,0.137931034482759
"117",117,59,"Y Venugopal Rao","2008-2010",35,30,5,498,0,19.92,398,125.12,0,2,2,34,23,"DC",0.766666666666667,1.13333333333333,1.9,16.6,27.710843373494,27.3092369477912,55.0200803212851,13.2666666666667,0.166666666666667
"125",125,4,"MA Agarwal","2014-2016",21,21,1,355,68,17.75,293,121.16,0,2,1,38,11,"DD",0.523809523809524,1.80952380952381,2.33333333333333,16.9047619047619,18.5915492957746,42.8169014084507,61.4084507042254,13.952380952381,0.0476190476190476
"136",136,15,"Q de Kock","2014-2016",23,23,1,720,108,32.72,534,134.83,1,5,0,89,21,"DD",0.91304347826087,3.8695652173913,4.78260869565217,31.304347826087,17.5,49.4444444444444,66.9444444444444,23.2173913043478,0.0434782608695652
"137",137,16,"AB de Villiers","2008-2010",28,26,5,671,0,31.95,572,117.3,1,3,2,51,13,"DD",0.5,1.96153846153846,2.46153846153846,25.8076923076923,11.6244411326379,30.4023845007452,42.026825633383,22,0.192307692307692
"139",139,18,"TM Dilshan","2008-2010",31,30,4,615,0,23.65,542,113.46,0,4,3,66,16,"DD",0.533333333333333,2.2,2.73333333333333,20.5,15.609756097561,42.9268292682927,58.5365853658537,18.0666666666667,0.133333333333333
"141",141,20,"JP Duminy","2014-2016",38,35,12,1015,0,44.13,776,130.79,0,6,0,62,43,"DD",1.22857142857143,1.77142857142857,3,29,25.4187192118227,24.4334975369458,49.8522167487685,22.1714285714286,0.342857142857143
"143",143,22,"G Gambhir","2008-2010",44,43,4,1115,86,28.58,910,122.52,0,8,3,134,12,"DD",0.27906976744186,3.11627906976744,3.3953488372093,25.9302325581395,6.45739910313901,48.0717488789238,54.5291479820628,21.1627906976744,0.0930232558139535
"152",152,31,"KM Jadhav","2010-2015",41,37,14,566,0,24.6,421,134.44,0,2,4,44,21,"DD",0.567567567567568,1.18918918918919,1.75675675675676,15.2972972972973,22.2614840989399,31.095406360424,53.356890459364,11.3783783783784,0.378378378378378
"153",153,32,"DPMD Jayawardene","2012-2013",33,32,3,691,66,23.82,637,108.47,0,5,1,82,9,"DD",0.28125,2.5625,2.84375,21.59375,7.81476121562952,47.4674384949349,55.2821997105644,19.90625,0.09375
"155",155,34,"KD Karthik","2008-2014",60,53,8,1128,69,25.06,895,126.03,0,7,2,96,33,"DD",0.622641509433962,1.81132075471698,2.43396226415094,21.2830188679245,17.5531914893617,34.0425531914894,51.5957446808511,16.8867924528302,0.150943396226415
"166",166,45,"A Mishra","2008-2016",61,23,9,129,31,9.21,162,79.62,0,0,3,6,2,"DD",0.0869565217391304,0.260869565217391,0.347826086956522,5.60869565217391,9.30232558139535,18.6046511627907,27.906976744186,7.04347826086957,0.391304347826087
"174",174,53,"Y Nagar","2009-2012",27,21,6,295,0,19.66,277,106.49,0,0,2,20,9,"DD",0.428571428571429,0.952380952380952,1.38095238095238,14.047619047619,18.3050847457627,27.1186440677966,45.4237288135593,13.1904761904762,0.285714285714286
"180",180,59,"NV Ojha","2011-2013",38,35,7,437,0,15.6,412,106.06,0,1,3,34,25,"DD",0.714285714285714,0.971428571428571,1.68571428571429,12.4857142857143,34.324942791762,31.1212814645309,65.4462242562929,11.7714285714286,0.2
"183",183,62,"IK Pathan","2011-2013",50,40,15,490,0,19.6,442,110.85,0,0,2,36,15,"DD",0.375,0.9,1.275,12.25,18.3673469387755,29.3877551020408,47.7551020408163,11.05,0.375
"184",184,63,"KP Pietersen","2012-2014",23,22,4,672,0,37.33,511,131.5,1,3,1,61,28,"DD",1.27272727272727,2.77272727272727,4.04545454545455,30.5454545454545,25,36.3095238095238,61.3095238095238,23.2272727272727,0.181818181818182
"191",191,70,"V Sehwag","2008-2013",86,85,5,2382,119,29.77,1504,158.37,1,17,7,292,89,"DD",1.04705882352941,3.43529411764706,4.48235294117647,28.0235294117647,22.4181360201511,49.0344248530646,71.4525608732158,17.6941176470588,0.0588235294117647
"199",199,78,"MK Tiwary","2008-2015",27,22,8,355,0,25.35,313,113.41,0,1,2,40,5,"DD",0.227272727272727,1.81818181818182,2.04545454545455,16.1363636363636,8.45070422535211,45.0704225352113,53.5211267605634,14.2272727272727,0.363636363636364
"203",203,82,"Y Venugopal Rao","2011-2013",25,21,3,468,60,26,406,115.27,0,1,0,38,18,"DD",0.857142857142857,1.80952380952381,2.66666666666667,22.2857142857143,23.0769230769231,32.4786324786325,55.5555555555556,19.3333333333333,0.142857142857143
"207",207,86,"DA Warner","2009-2013",57,56,5,1456,0,28.54,1096,132.84,2,10,5,150,58,"DD",1.03571428571429,2.67857142857143,3.71428571428571,26,23.9010989010989,41.2087912087912,65.1098901098901,19.5714285714286,0.0892857142857143
"236",236,7,"R Bhatia","2011-2013",54,27,12,240,0,16,219,109.58,0,0,0,19,6,"KKR",0.222222222222222,0.703703703703704,0.925925925925926,8.88888888888889,15,31.6666666666667,46.6666666666667,8.11111111111111,0.444444444444444
"237",237,8,"MS Bisla","2011-2014",38,37,1,719,92,19.97,628,114.49,0,3,2,83,23,"KKR",0.621621621621622,2.24324324324324,2.86486486486486,19.4324324324324,19.1933240611961,46.1752433936022,65.3685674547983,16.972972972973,0.027027027027027
"245",245,16,"DB Das","2008-2013",33,23,9,347,0,24.78,280,123.92,0,0,1,29,18,"KKR",0.782608695652174,1.26086956521739,2.04347826086957,15.0869565217391,31.1239193083573,33.4293948126801,64.5533141210375,12.1739130434783,0.391304347826087
"249",249,20,"G Gambhir","2011-2016",106,105,10,2847,93,29.96,2293,124.16,0,26,12,321,48,"KKR",0.457142857142857,3.05714285714286,3.51428571428571,27.1142857142857,10.1159114857745,45.100105374078,55.2160168598525,21.8380952380952,0.0952380952380952
"250",250,21,"SC Ganguly","2008-2010",40,38,2,1031,91,28.63,933,110.5,0,7,3,104,36,"KKR",0.947368421052632,2.73684210526316,3.68421052631579,27.1315789473684,20.9505334626576,40.349175557711,61.2997090203686,24.5526315789474,0.0526315789473684
"262",262,33,"DJ Hussey","2008-2010",23,23,4,511,71,26.89,404,126.48,0,2,3,31,28,"KKR",1.21739130434783,1.34782608695652,2.56521739130435,22.2173913043478,32.8767123287671,24.26614481409,57.1428571428572,17.5652173913043,0.173913043478261
"264",264,35,"JH Kallis","2011-2014",70,67,10,1603,0,28.12,1480,108.31,0,10,6,151,32,"KKR",0.477611940298507,2.25373134328358,2.73134328358209,23.9253731343284,11.9775421085465,37.6793512164691,49.6568933250156,22.089552238806,0.149253731343284
"270",270,41,"BB McCullum","2008-2013",39,38,3,958,0,27.37,788,121.57,1,4,3,98,37,"KKR",0.973684210526316,2.57894736842105,3.55263157894737,25.2105263157895,23.1732776617954,40.9185803757829,64.0918580375783,20.7368421052632,0.0789473684210526
"278",278,49,"EJG Morgan","2011-2013",26,22,2,444,66,22.2,357,124.36,0,2,1,45,16,"KKR",0.727272727272727,2.04545454545455,2.77272727272727,20.1818181818182,21.6216216216216,40.5405405405405,62.1621621621622,16.2272727272727,0.0909090909090909
"283",283,54,"MK Pandey","2014-2016",46,44,8,1046,94,29.05,829,126.17,0,5,4,90,34,"KKR",0.772727272727273,2.04545454545455,2.81818181818182,23.7727272727273,19.5028680688336,34.4168260038241,53.9196940726577,18.8409090909091,0.181818181818182
"285",285,56,"YK Pathan","2011-2016",107,92,32,1918,72,31.96,1401,136.9,0,6,7,149,87,"KKR",0.945652173913043,1.6195652173913,2.56521739130435,20.8478260869565,27.2158498435871,31.0740354535975,58.2898852971846,15.2282608695652,0.347826086956522
"289",289,60,"AD Russell","2014-2016",33,25,4,581,66,27.66,327,177.67,0,4,0,49,39,"KKR",1.56,1.96,3.52,23.24,40.2753872633391,33.7349397590361,74.0103270223752,13.08,0.16
