"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"1","S Ladda","2011-2013",3,"-","-","-","-","-","-","-","-","-","-","-","-"
"2","AB Agarkar","2008-2010",27,"17","9","160","39","20.00","132","121.21","0","0","0","12","5"
"3","Anureet Singh","2009-2009",3,"-","-","-","-","-","-","-","-","-","-","-","-"
"4","Azhar Mahmood","2015-2015",1,"1","0","6","6","6.00","7","85.71","0","0","0","1","0"
"5","L Balaji","2011-2013",42,"5","4","13","9*","13.00","12","108.33","0","0","1","1","0"
"6","SB Bangar","2009-2009",1,"1","0","2","2","2.00","9","22.22","0","0","0","0","0"
"7","R Bhatia","2011-2013",54,"27","12","240","26*","16.00","219","109.58","0","0","0","19","6"
"8","MS Bisla","2011-2014",38,"37","1","719","92","19.97","628","114.49","0","3","2","83","23"
"9","SE Bond","2010-2010",8,"1","0","1","1","1.00","2","50.00","0","0","0","0","0"
"10","J Botha","2015-2015",4,"3","0","31","17","10.33","15","206.66","0","0","0","5","1"
"11","MV Boucher","2011-2011",4,"3","2","6","5","6.00","6","100.00","0","0","0","0","0"
"12","KC Cariappa","2015-2015",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"13","PP Chawla","2014-2016",42,"18","8","121","22","12.10","95","127.36","0","0","4","15","3"
"14","A Chopra","2008-2009",7,"6","0","53","24","8.83","71","74.64","0","0","0","7","0"
"15","PJ Cummins","2014-2015",7,"3","1","8","8","4.00","10","80.00","0","0","1","0","0"
"16","DB Das","2008-2013",33,"23","9","347","43*","24.78","280","123.92","0","0","1","29","18"
"17","M de Lange","2012-2012",3,"-","-","-","-","-","-","-","-","-","-","-","-"
"18","AB Dinda","2008-2010",29,"6","2","4","2","1.00","8","50.00","0","0","2","0","0"
"19","P Dogra","2013-2013",1,"1","0","5","5","5.00","8","62.50","0","0","0","0","0"
"20","G Gambhir","2011-2016",106,"105","10","2847","93","29.96","2293","124.16","0","26","12","321","48"
"21","SC Ganguly","2008-2010",40,"38","2","1031","91","28.63","933","110.50","0","7","3","104","36"
