"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"1","KJ Abbott","2016-2016",5,"3","2","13","12*","13.00","8","162.50","0","0","1","0","1"
"2","YA Abdulla","2009-2010",11,"1","1","0","0*","-","1","0.00","0","0","0","0","0"
"3","L Ablish","2010-2011",3,"1","1","0","0*","-","2","0.00","0","0","0","0","0"
"4","HM Amla","2016-2016",6,"6","0","157","96","26.16","119","131.93","0","1","1","20","4"
"5","Anureet Singh","2014-2016",21,"7","3","34","16","8.50","41","82.92","0","0","2","0","3"
"6","P Awana","2012-2014",38,"8","5","5","4*","1.66","16","31.25","0","0","3","0","0"
"7","Azhar Mahmood","2012-2013",22,"20","2","382","80","21.22","296","129.05","0","2","2","38","13"
"8","GJ Bailey","2014-2015",35,"33","10","581","61*","25.26","437","132.95","0","2","0","49","17"
"9","L Balaji","2014-2014",9,"2","1","1","1*","1.00","3","33.33","0","0","1","0","0"
"10","AB Barath","2010-2010",3,"3","1","42","33","21.00","42","100.00","0","0","0","5","1"
"11","F Behardien","2016-2016",3,"3","1","14","9*","7.00","13","107.69","0","0","1","2","0"
"12","BA Bhatt","2011-2013",17,"2","1","6","6*","6.00","7","85.71","0","0","1","0","1"
"13","Bipul Sharma","2010-2013",15,"9","5","104","35*","26.00","72","144.44","0","0","0","8","3"
"14","MS Bisla","2010-2010",10,"10","0","218","75","21.80","178","122.47","0","1","1","27","6"
"15","RS Bopara","2009-2010",15,"14","1","386","84","29.69","333","115.91","0","3","1","33","10"
"16","RR Bose","2009-2009",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"17","KC Cariappa","2016-2016",5,"2","1","13","12*","13.00","11","118.18","0","0","0","0","1"
"18","PP Chawla","2008-2013",87,"52","21","401","24*","12.93","355","112.95","0","0","7","36","12"
"19","SD Chitnis","2011-2012",7,"5","1","75","38","18.75","71","105.63","0","0","0","8","1"
"20","P Dharmani","2008-2008",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"21","R Dhawan","2014-2016",20,"13","9","132","25*","33.00","114","115.78","0","0","0","10","4"
"22","P Dogra","2012-2012",3,"3","1","15","6","7.50","24","62.50","0","0","0","0","0"
"23","JP Faulkner","2012-2012",2,"2","1","14","11*","14.00","13","107.69","0","0","0","0","0"
