"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"1","AN Ahmed","2010-2013",17,"4","4","24","18*","-","24","100.00","0","0","0","1","1"
"2","CJ Anderson","2014-2015",16,"15","3","379","95*","31.58","278","136.33","0","3","0","32","21"
"3","STR Binny","2010-2010",1,"1","0","8","8","8.00","5","160.00","0","0","0","1","0"
"4","AC Blizzard","2011-2012",13,"13","0","227","54","17.46","189","120.10","0","2","1","31","7"
"5","DJ Bravo","2008-2010",33,"27","4","508","70*","22.08","419","121.24","0","3","0","45","19"
"6","JJ Bumrah","2013-2016",34,"5","4","9","6","9.00","14","64.28","0","0","0","1","0"
"7","JC Buttler","2016-2016",14,"14","3","255","41","23.18","184","138.58","0","0","1","23","11"
"8","YS Chahal","2011-2013",7,"2","1","4","2*","4.00","5","80.00","0","0","0","0","0"
"9","UBT Chand","2015-2016",7,"6","0","102","58","17.00","87","117.24","0","1","1","13","2"
"10","SD Chitnis","2008-2008",3,"2","0","18","15","9.00","10","180.00","0","0","0","1","1"
"11","NM Coulter-Nile","2013-2013",6,"2","1","21","12*","21.00","11","190.90","0","0","0","1","2"
"12","M de Lange","2014-2015",2,"1","0","1","1","1.00","2","50.00","0","0","0","0","0"
"13","R Dhawan","2013-2013",11,"5","2","21","14","7.00","21","100.00","0","0","1","3","0"
"14","S Dhawan","2009-2010",19,"18","0","345","56","19.16","326","105.82","0","2","1","33","8"
"15","JP Duminy","2009-2010",24,"23","6","586","62","34.47","508","115.35","0","5","1","43","17"
"16","BR Dunk","2014-2014",3,"3","0","40","20","13.33","35","114.28","0","0","0","7","0"
"17","CRD Fernando","2008-2010",10,"2","2","4","2*","-","3","133.33","0","0","0","0","0"
"18","AJ Finch","2015-2015",3,"3","1","23","10*","11.50","33","69.69","0","0","0","4","0"
"19","JEC Franklin","2011-2012",25,"21","6","434","79","28.93","410","105.85","0","1","1","32","12"
"20","CM Gautam","2014-2014",9,"9","2","121","33","17.28","111","109.00","0","0","0","13","5"
"21","HH Gibbs","2012-2012",3,"3","1","81","66*","40.50","88","92.04","0","1","0","8","2"
"22","S Gopal","2014-2016",8,"4","1","38","24","12.66","39","97.43","0","0","0","3","1"
"23","MJ Guptill","2016-2016",3,"3","0","57","48","19.00","55","103.63","0","0","0","3","3"
"24","Harbhajan Singh","2008-2016",147,"92","36","931","64","16.62","654","142.35","0","1","13","89","48"
"25","MEK Hussey","2014-2014",12,"12","0","304","60","25.33","260","116.92","0","3","0","25","11"
"26","DJ Jacobs","2011-2012",8,"8","0","110","32","13.75","113","97.34","0","0","1","13","4"
"27","ST Jayasuriya","2008-2010",30,"30","2","768","114*","27.42","532","144.36","1","4","2","84","39"
"28","MG Johnson","2012-2013",23,"9","4","74","30","14.80","71","104.22","0","0","0","6","2"
"29","S Kanwar","2011-2011",4,"4","0","65","45","16.25","45","144.44","0","0","0","5","6"
"30","KD Karthik","2012-2013",45,"41","5","934","86","25.94","760","122.89","0","3","3","98","28"
"31","Z Khan","2009-2014",30,"14","11","40","23*","13.33","32","125.00","0","0","1","3","2"
"32","MA Khote","2008-2008",4,"3","1","24","9","12.00","22","109.09","0","0","0","2","1"
"33","DS Kulkarni","2008-2013",36,"8","5","23","10*","7.66","42","54.76","0","0","0","2","0"
"34","P Kumar","2014-2014",4,"2","1","21","20*","21.00","16","131.25","0","0","0","3","0"
"35","RE Levi","2012-2012",6,"6","0","83","50","13.83","73","113.69","0","1","2","10","4"
"36","MJ McClenaghan","2015-2016",26,"8","4","47","20","11.75","29","162.06","0","0","1","2","5"
"37","CJ McKay","2012-2012",2,"1","0","8","8","8.00","15","53.33","0","0","0","0","0"
"38","R McLaren","2010-2010",11,"8","5","67","40","22.33","70","95.71","0","0","1","7","0"
"39","C Madan","2010-2010",1,"1","0","15","15","15.00","19","78.94","0","0","0","3","0"
"40","SL Malinga","2009-2015",115,"31","11","171","37*","8.55","146","117.12","0","0","6","13","11"
"41","GJ Maxwell","2013-2013",5,"5","1","83","37","20.75","48","172.91","0","0","1","7","6"
"42","Mohammad Ashraful","2009-2009",1,"1","0","2","2","2.00","10","20.00","0","0","0","0","0"
"43","AG Murtaza","2010-2011",11,"1","1","2","2*","-","5","40.00","0","0","0","0","0"
"44","C Nanda","2009-2009",3,"1","0","0","0","0.00","1","0.00","0","0","1","0","0"
"45","GR Napier","2009-2009",1,"1","0","15","15","15.00","16","93.75","0","0","0","1","0"
"46","AM Nayar","2008-2010",30,"24","5","457","45*","24.05","341","134.01","0","0","0","34","18"
