"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"1","VR Aaron","2014-2016",24,"5","4","41","17*","41.00","37","110.81","0","0","0","2","2"
"2","SA Abbott","2015-2015",2,"2","0","15","14","7.50","13","115.38","0","0","0","1","1"
"3","Abdur Razzak","2008-2008",1,"1","1","0","0*","-","2","0.00","0","0","0","0","0"
"4","MA Agarwal","2011-2013",35,"30","1","492","64*","16.96","382","128.79","0","1","2","43","28"
"5","AN Ahmed","2014-2015",7,"4","3","14","5*","14.00","6","233.33","0","0","0","3","0"
"6","B Akhil","2008-2010",18,"11","6","81","27*","16.20","59","137.28","0","0","2","7","4"
"7","KP Appanna","2009-2012",14,"3","2","2","1*","2.00","4","50.00","0","0","0","0","0"
"8","S Aravind","2011-2016",34,"8","7","38","14*","38.00","26","146.15","0","0","0","6","0"
"9","KB Arun Karthik","2011-2013",20,"10","4","67","19*","11.16","58","115.51","0","0","2","4","3"
"10","J Arunkumar","2008-2008",3,"3","0","23","22","7.66","23","100.00","0","0","1","5","0"
"11","RR Bhatkal","2011-2012",6,"5","1","36","25","9.00","34","105.88","0","0","1","2","1"
"12","STR Binny","2016-2016",14,"6","2","63","21","15.75","39","161.53","0","0","0","5","4"
"13","R Bishnoi","2009-2009",3,"3","0","19","18","6.33","17","111.76","0","0","1","1","2"
"14","MS Bisla","2015-2015",2,"2","0","37","20","18.50","30","123.33","0","0","0","6","1"
"15","MV Boucher","2008-2010",31,"22","8","393","50*","28.07","315","124.76","0","1","0","32","13"
"16","YS Chahal","2014-2016",42,"4","4","2","1*","-","2","100.00","0","0","0","0","0"
"17","S Chanderpaul","2008-2008",3,"3","0","25","16","8.33","31","80.64","0","0","0","4","0"
"18","B Chipli","2008-2008",3,"3","0","20","10","6.66","28","71.42","0","0","0","3","0"
"19","DT Christian","2013-2013",2,"2","0","6","4","3.00","15","40.00","0","0","0","0","0"
"20","AB de Villiers","2011-2016",93,"84","21","2617","133*","41.53","1634","160.15","2","18","6","225","130"
"21","TM Dilshan","2011-2013",30,"29","3","733","76*","28.19","647","113.29","0","6","3","99","11"
"22","AB Dinda","2014-2015",11,"3","2","4","2*","4.00","12","33.33","0","0","1","0","0"
"23","ND Doshi","2010-2010",2,"-","-","-","-","-","-","-","-","-","-","-","-"
"24","R Dravid","2008-2010",52,"45","5","1132","75*","28.30","946","119.66","0","5","4","121","20"
"25","D du Preez","2009-2010",5,"3","0","57","46","19.00","39","146.15","0","0","0","1","4"
"26","CH Gayle","2011-2016",82,"81","11","3220","175*","46.00","2052","156.92","5","20","3","248","249"
"27","SP Goswami","2008-2010",7,"6","0","143","52","23.83","155","92.25","0","1","0","17","1"
"28","TM Head","2016-2016",3,"3","1","54","37","27.00","40","135.00","0","0","0","3","2"
"29","MC Henriques","2013-2013",10,"9","5","165","44","41.25","125","132.00","0","0","0","20","3"
"30","Iqbal Abdulla","2015-2016",13,"4","2","57","33*","28.50","45","126.66","0","0","1","8","1"
"31","KM Jadhav","2016-2016",4,"3","3","42","25*","-","32","131.25","0","0","0","2","2"
"32","W Jaffer","2008-2009",8,"8","0","130","50","16.25","121","107.43","0","1","1","14","3"
"33","SB Jakati","2014-2014",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"34","CJ Jordan","2016-2016",9,"1","0","3","3","3.00","4","75.00","0","0","0","0","0"
"35","SB Joshi","2008-2008",4,"2","0","6","3","3.00","14","42.85","0","0","0","0","0"
"36","M Kaif","2011-2012",13,"9","2","102","26","14.57","93","109.67","0","0","0","9","2"
"37","JH Kallis","2008-2010",46,"46","8","1271","89*","33.44","1123","113.17","0","11","4","139","24"
"38","KD Karthik","2015-2015",16,"11","0","141","28","12.81","117","120.51","0","0","0","15","4"
"39","M Kartik","2013-2013",11,"2","1","2","2*","2.00","3","66.66","0","0","1","0","0"
"40","AA Kazi","2011-2011",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"41","SN Khan","2015-2016",18,"12","6","177","45*","29.50","102","173.52","0","0","0","19","6"
"42","Z Khan","2008-2013",44,"15","7","67","21","8.37","84","79.76","0","0","4","7","0"
"43","V Kohli","2008-2016",154,"145","26","4534","113","38.10","3433","132.07","4","28","6","404","162"
"44","B Kumar","2009-2009",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"45","P Kumar","2008-2010",47,"26","7","202","34","10.63","166","121.68","0","0","4","12","14"
"46","A Kumble","2008-2010",51,"19","16","37","8","12.33","50","74.00","0","0","0","3","0"
"47","CK Langeveldt","2011-2011",3,"1","0","8","8","8.00","8","100.00","0","0","0","0","1"
"48","AB McDonald","2012-2013",5,"4","1","47","30","15.66","37","127.02","0","0","1","6","2"
"49","NJ Maddinson","2014-2015",3,"3","0","20","12","6.66","21","95.23","0","0","0","4","0"
"50","Mandeep Singh","2015-2016",15,"9","2","157","54*","22.42","100","157.00","0","1","2","17","6"
"51","AF Milne","2016-2016",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"52","Misbah-ul-Haq","2008-2008",8,"8","1","117","47*","16.71","81","144.44","0","0","2","10","6"
"53","A Mithun","2009-2013",17,"9","3","38","11","6.33","29","131.03","0","0","1","5","1"
"54","EJG Morgan","2010-2010",6,"4","1","35","17","11.66","30","116.66","0","0","0","2","1"
"55","JA Morkel","2014-2014",7,"5","2","45","16","15.00","41","109.75","0","0","0","1","3"
"56","A Mukund","2013-2013",1,"1","0","19","19","19.00","21","90.47","0","0","0","1","0"
"57","M Muralitharan","2012-2014",21,"2","0","6","6","3.00","9","66.66","0","0","1","0","0"
"58","KK Nair","2013-2013",2,"2","0","9","9","4.50","12","75.00","0","0","1","0","0"
"59","DP Nannes","2011-2011",8,"1","1","0","0*","-","1","0.00","0","0","0","0","0"
"60","R Ninan","2011-2011",2,"1","0","3","3","3.00","6","50.00","0","0","0","0","0"
"61","AA Noffke","2008-2008",1,"1","0","9","9","9.00","10","90.00","0","0","0","1","0"
"62","MK Pandey","2009-2010",24,"23","5","569","114*","31.61","475","119.78","1","1","2","62","14"
"63","Pankaj Singh","2009-2010",5,"3","1","2","1*","1.00","4","50.00","0","0","1","0","0"
"64","P Parameswaran","2012-2012",3,"1","1","0","0*","-","1","0.00","0","0","0","0","0"
"65","Parvez Rasool","2016-2016",4,"1","0","10","10","10.00","9","111.11","0","0","0","1","0"
"66","HV Patel","2012-2016",35,"14","5","47","10","5.22","34","138.23","0","0","3","2","3"
"67","PA Patel","2014-2014",12,"12","2","205","57*","20.50","185","110.81","0","1","0","30","1"
"68","AUK Pathan","2011-2012",8,"7","2","39","14","7.80","23","169.56","0","0","2","5","2"
"69","DT Patil","2008-2008",2,"2","0","13","9","6.50","13","100.00","0","0","0","1","0"
"70","KP Pietersen","2009-2010",13,"13","3","329","66*","32.90","242","135.95","0","2","2","31","10"
"71","LA Pomersbach","2011-2011",5,"4","0","51","29","12.75","39","130.76","0","0","0","4","2"
"72","CA Pujara","2011-2013",14,"10","0","143","51","14.30","152","94.07","0","1","1","19","1"
"73","KL Rahul","2013-2016",19,"14","3","417","68*","37.90","287","145.29","0","4","1","41","16"
"74","R Rampaul","2013-2014",12,"7","2","51","23*","10.20","50","102.00","0","0","3","3","2"
"75","S Rana","2014-2014",9,"7","4","73","19*","24.33","65","112.30","0","0","0","7","1"
"76","KW Richardson","2016-2016",4,"1","1","1","1*","-","1","100.00","0","0","0","0","0"
"77","RR Rossouw","2014-2015",5,"5","0","53","24","10.60","51","103.92","0","0","1","3","3"
"78","JD Ryder","2009-2009",5,"5","0","56","32","11.20","49","114.28","0","0","2","9","0"
"79","Sachin Baby","2016-2016",11,"6","2","119","33","29.75","79","150.63","0","0","1","9","5"
