"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"1","Ankit Sharma","2014-2015",7,"4","1","41","30","13.66","36","113.88","0","0","1","5","1"
"2","SA Asnodkar","2008-2011",21,"21","0","464","60","22.09","379","122.42","0","2","3","59","11"
"3","S Badree","2013-2013",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"4","R Bhatia","2014-2015",14,"8","2","67","23","11.16","54","124.07","0","0","1","4","3"
"5","STR Binny","2011-2015",63,"49","17","698","48*","21.81","533","130.95","0","0","5","55","25"
"6","J Botha","2009-2012",24,"19","8","335","67*","30.45","292","114.72","0","1","0","29","3"
"7","LA Carseldine","2009-2009",5,"5","1","81","39","20.25","68","119.11","0","0","0","11","0"
"8","UBT Chand","2014-2014",1,"1","0","2","2","2.00","9","22.22","0","0","0","0","0"
"9","A Chandila","2012-2013",12,"2","2","4","4*","-","7","57.14","0","0","0","0","0"
"10","AA Chavan","2011-2013",13,"3","1","12","7*","6.00","11","109.09","0","0","0","2","0"
"11","SD Chitnis","2009-2009",1,"1","0","6","6","6.00","8","75.00","0","0","0","1","0"
"12","KK Cooper","2012-2014",31,"17","6","142","32","12.90","81","175.30","0","0","1","14","9"
"13","BCJ Cutting","2014-2014",1,"1","0","8","8","8.00","6","133.33","0","0","0","0","1"
"14","P Dogra","2010-2010",9,"8","0","107","41","13.37","106","100.94","0","0","1","4","5"
"15","AP Dole","2010-2010",3,"2","0","34","30","17.00","22","154.54","0","0","0","3","1"
"16","ND Doshi","2011-2011",3,"1","0","0","0","0.00","13","0.00","0","0","1","0","0"
"17","R Dravid","2011-2013",52,"51","2","1324","66","27.02","1216","108.88","0","7","1","177","11"
"18","JP Faulkner","2013-2015",48,"35","16","387","46","20.36","269","143.86","0","0","0","25","23"
"19","FY Fazal","2009-2011",13,"12","1","210","45","19.09","195","107.69","0","0","1","23","3"
"20","AJ Finch","2010-2010",1,"1","0","21","21","21.00","21","100.00","0","0","0","0","1"
"21","SP Goswami","2012-2012",11,"6","1","69","24","13.80","67","102.98","0","0","1","4","1"
"22","Harmeet Singh","2013-2013",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"23","SM Harwood","2009-2009",3,"2","2","9","6*","-","14","64.28","0","0","0","0","0"
"24","T Henderson","2009-2009",2,"2","0","11","11","5.50","16","68.75","0","0","1","0","1"
"25","BJ Hodge","2012-2014",38,"33","14","748","54*","39.36","520","143.84","0","2","0","61","29"
"26","GB Hogg","2012-2013",10,"3","1","15","13","7.50","16","93.75","0","0","0","1","0"
"27","DJ Hooda","2015-2015",14,"9","0","151","54","16.77","95","158.94","0","1","0","6","11"
"28","Iqbal Abdulla","2014-2014",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"29","RA Jadeja","2008-2009",27,"22","4","430","42","23.88","369","116.53","0","0","2","32","12"
"30","AA Jhunjhunwala","2010-2010",13,"11","2","183","53*","20.33","166","110.24","0","1","0","16","4"
"31","M Kaif","2008-2009",17,"15","3","217","41","18.08","206","105.33","0","0","0","15","6"
"32","Kamran Akmal","2008-2008",6,"6","1","128","53*","25.60","78","164.10","0","1","0","13","8"
"33","Kamran Khan","2009-2010",8,"2","1","3","3","3.00","5","60.00","0","0","0","0","0"
"34","T Kohli","2008-2008",2,"2","0","10","7","5.00","15","66.66","0","0","0","0","1"
"35","DS Kulkarni","2014-2015",19,"4","2","39","28*","19.50","36","108.33","0","0","0","1","2"
"36","JL Langer","2009-2009",1,"1","0","1","1","1.00","2","50.00","0","0","0","0","0"
"37","DS Lehmann","2008-2008",2,"2","0","18","17","9.00","18","100.00","0","0","0","3","0"
