"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100s","X50s","X0s","X4s","X6s","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI"
"1","V Kohli (INDIA)","2014-2016",23,22,10,1070,"90*",89.16,773,138.42,0,12,0,104,23,1.04545454545455,4.72727272727273,5.77272727272727,48.6363636363636,12.8971962616822,38.8785046728972,51.7757009345794,35.1363636363636
"2","AJ Finch (AUS)","2013-2016",25,25,1,870,"156",36.25,579,150.25,1,5,0,90,40,1.6,3.6,5.2,34.8,27.5862068965517,41.3793103448276,68.9655172413793,23.16
"3","KS Williamson (NZ)","2014-2017",23,23,4,857,"73*",45.1,695,123.3,0,7,1,100,12,0.521739130434783,4.34782608695652,4.8695652173913,37.2608695652174,8.40140023337223,46.6744457409568,55.0758459743291,30.2173913043478
"4","AD Hales (ENG)","2013-2016",30,30,3,827,"116*",30.62,594,139.22,1,3,2,93,26,0.866666666666667,3.1,3.96666666666667,27.5666666666667,18.863361547763,44.9818621523579,63.8452237001209,19.8
"5","F du Plessis (SA)","2013-2016",24,24,5,803,"119",42.26,607,132.28,1,5,0,68,27,1.125,2.83333333333333,3.95833333333333,33.4583333333333,20.1743462017435,33.8729763387298,54.0473225404732,25.2916666666667
"6","RG Sharma (INDIA)","2013-2016",26,26,2,794,"106",33.08,610,130.16,1,6,2,71,30,1.15384615384615,2.73076923076923,3.88461538461538,30.5384615384615,22.6700251889169,35.7682619647355,58.4382871536524,23.4615384615385
"7","MJ Guptill (NZ)","2013-2016",21,21,1,746,"87*",37.3,514,145.13,0,6,0,71,33,1.57142857142857,3.38095238095238,4.95238095238095,35.5238095238095,26.5415549597855,38.0697050938338,64.6112600536193,24.4761904761905
"8","HM Amla (SA)","2013-2016",20,20,3,691,"97*",40.64,527,131.11,0,5,0,73,16,0.8,3.65,4.45,34.55,13.8929088277858,42.2575976845152,56.150506512301,26.35
"9","TM Dilshan (SL)","2013-2016",31,31,3,669,"75*",23.89,580,115.34,0,6,4,80,9,0.290322580645161,2.58064516129032,2.87096774193548,21.5806451612903,8.07174887892377,47.8325859491779,55.9043348281016,18.7096774193548
"10","Q de Kock (SA)","2013-2016",24,24,2,667,"52",30.31,518,128.76,0,1,1,77,21,0.875,3.20833333333333,4.08333333333333,27.7916666666667,18.8905547226387,46.1769115442279,65.0674662668666,21.5833333333333
"11","MDKJ Perera (SL)","2013-2016",24,24,0,621,"84",25.87,477,130.18,0,5,0,65,22,0.916666666666667,2.70833333333333,3.625,25.875,21.256038647343,41.8679549114332,63.1239935587762,19.875
