"","X.1","X","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","Team"
"1",1,1,"P Amarnath","2008-2008",6,"-","-","-","-","-","-","-","-","-","-","-","-","CSK"
"2",2,2,"S Anirudha","2008-2013",25,"16","6","184","64","18.40","153","120.26","0","1","2","14","8","CSK"
"3",3,3,"KB Arun Karthik","2010-2010",1,"1","1","3","3*","-","5","60.00","0","0","0","0","0","CSK"
"4",4,4,"R Ashwin","2009-2015",121,"40","16","288","46","12.00","263","109.50","0","0","3","27","6","CSK"
"5",5,5,"S Badree","2014-2014",4,"-","-","-","-","-","-","-","-","-","-","-","-","CSK"
"6",6,6,"S Badrinath","2008-2013",114,"82","23","1667","71*","28.25","1455","114.57","0","12","6","168","32","CSK"
"7",7,7,"GJ Bailey","2009-2010",4,"3","0","63","30","21.00","66","95.45","0","0","0","9","0","CSK"
"8",8,8,"L Balaji","2008-2010",34,"8","2","22","15","3.66","34","64.70","0","0","3","1","1","CSK"
"9",9,9,"DE Bollinger","2010-2012",41,"5","3","38","17","19.00","34","111.76","0","0","0","4","1","CSK"
"10",10,10,"DJ Bravo","2011-2015",75,"56","23","982","67","29.75","726","135.26","0","2","1","79","41","CSK"
"11",11,11,"MS Dhoni","2008-2015",153,"139","48","3435","70*","37.74","2462","139.52","0","16","5","246","152","CSK"
"12",12,12,"F du Plessis","2012-2015",53,"46","3","1292","73","30.04","993","130.11","0","7","2","114","35","CSK"
"13",13,13,"SP Fleming","2008-2008",10,"10","1","196","45","21.77","165","118.78","0","0","1","27","3","CSK"
"14",14,14,"A Flintoff","2009-2009",3,"3","1","62","24","31.00","53","116.98","0","0","0","5","2","CSK"
"15",15,15,"C Ganapathy","2010-2010",1,"1","1","0","0*","-","0","-","0","0","0","0","0","CSK"
"16",16,16,"MS Gony","2008-2010",26,"9","5","50","15*","12.50","36","138.88","0","0","0","2","5","CSK"
"17",17,17,"JW Hastings","2014-2014",2,"1","1","0","0*","-","0","-","0","0","0","0","0","CSK"
"18",18,18,"ML Hayden","2008-2010",34,"34","2","1117","93","34.90","824","135.55","0","8","2","122","44","CSK"
"19",19,19,"BW Hilfenhaus","2012-2014",21,"3","3","7","7*","-","6","116.66","0","0","0","0","0","CSK"
"20",20,20,"JO Holder","2013-2013",11,"2","1","0","0*","0.00","1","0.00","0","0","1","0","0","CSK"
"21",21,21,"DJ Hussey","2014-2014",5,"4","2","116","50*","58.00","94","123.40","0","1","0","8","6","CSK"
"22",22,22,"MEK Hussey","2008-2015",64,"63","9","2213","116*","40.98","1802","122.80","1","17","1","230","52","CSK"
"23",23,23,"RA Jadeja","2012-2015",84,"60","21","826","48","21.17","622","132.79","0","0","4","57","32","CSK"
"24",24,24,"SB Jakati","2009-2012",55,"8","7","27","13","27.00","27","100.00","0","0","0","3","0","CSK"
